timestamp,geracao_kwh,consumo_kwh,exportado_kwh,solar_generation_kwh,house_consumption_kwh,grid_import_kwh,grid_export_kwh,self_consumption_kwh,estimated_savings_brl,weather_condition,expected_generation_kwh
1773254809,0.0,0.3999,0.0,0.0,0.3999,0.3999,0.0,0.0,0.0,ensolarado,0.0
1773255709,0.0,0.4316,0.0,0.0,0.4316,0.4316,0.0,0.0,0.0,ensolarado,0.0
1773256609,0.0,0.4223,0.0,0.0,0.4223,0.4223,0.0,0.0,0.0,ensolarado,0.0
1773257509,0.0,0.3707,0.0,0.0,0.3707,0.3707,0.0,0.0,0.0,ensolarado,0.0
1773258409,0.0,0.3744,0.0,0.0,0.3744,0.3744,0.0,0.0,0.0,ensolarado,0.0
1773259309,0.0,0.4147,0.0,0.0,0.4147,0.4147,0.0,0.0,0.0,ensolarado,0.0
1773260209,0.0,0.4217,0.0,0.0,0.4217,0.4217,0.0,0.0,0.0,ensolarado,0.0
1773261109,0.0,0.4257,0.0,0.0,0.4257,0.4257,0.0,0.0,0.0,ensolarado,0.0
1773262009,0.0,0.4226,0.0,0.0,0.4226,0.4226,0.0,0.0,0.0,ensolarado,0.0
1773262909,0.0,0.4281,0.0,0.0,0.4281,0.4281,0.0,0.0,0.0,ensolarado,0.0
1773263809,0.0,0.3722,0.0,0.0,0.3722,0.3722,0.0,0.0,0.0,ensolarado,0.0
1773264709,0.0,0.3782,0.0,0.0,0.3782,0.3782,0.0,0.0,0.0,ensolarado,0.0
1773265609,0.0,0.3714,0.0,0.0,0.3714,0.3714,0.0,0.0,0.0,ensolarado,0.0
1773266509,0.0,0.378,0.0,0.0,0.378,0.378,0.0,0.0,0.0,ensolarado,0.0
1773267409,0.0,0.4077,0.0,0.0,0.4077,0.4077,0.0,0.0,0.0,ensolarado,0.0
1773268309,0.0,0.1104,0.0,0.0,0.1104,0.1104,0.0,0.0,0.0,ensolarado,0.0
1773269209,0.0,0.1431,0.0,0.0,0.1431,0.1431,0.0,0.0,0.0,ensolarado,0.0
1773270109,0.0,0.1423,0.0,0.0,0.1423,0.1423,0.0,0.0,0.0,ensolarado,0.0
1773271009,0.0,0.1566,0.0,0.0,0.1566,0.1566,0.0,0.0,0.0,ensolarado,0.0
1773271909,0.0,0.1714,0.0,0.0,0.1714,0.1714,0.0,0.0,0.0,ensolarado,0.0
1773272809,0.0,0.1487,0.0,0.0,0.1487,0.1487,0.0,0.0,0.0,ensolarado,0.0
1773273709,0.0,0.0981,0.0,0.0,0.0981,0.0981,0.0,0.0,0.0,ensolarado,0.0
1773274609,0.0,0.0813,0.0,0.0,0.0813,0.0813,0.0,0.0,0.0,ensolarado,0.0
1773275509,0.0,0.0526,0.0,0.0,0.0526,0.0526,0.0,0.0,0.0,ensolarado,0.0
1773276409,0.0,0.0995,0.0,0.0,0.0995,0.0995,0.0,0.0,0.0,ensolarado,0.0
1773277309,0.0,0.1038,0.0,0.0,0.1038,0.1038,0.0,0.0,0.0,ensolarado,0.0
1773278209,0.0,0.0583,0.0,0.0,0.0583,0.0583,0.0,0.0,0.0,ensolarado,0.0
1773279109,0.0,0.0672,0.0,0.0,0.0672,0.0672,0.0,0.0,0.0,ensolarado,0.0
1773280009,0.0,0.0961,0.0,0.0,0.0961,0.0961,0.0,0.0,0.0,ensolarado,0.0
1773280909,0.0,0.057,0.0,0.0,0.057,0.057,0.0,0.0,0.0,ensolarado,0.0
1773281809,0.0,0.0479,0.0,0.0,0.0479,0.0479,0.0,0.0,0.0,ensolarado,0.0
1773282709,0.0,0.0618,0.0,0.0,0.0618,0.0618,0.0,0.0,0.0,ensolarado,0.0
1773283609,0.0,0.0591,0.0,0.0,0.0591,0.0591,0.0,0.0,0.0,ensolarado,0.0
1773284509,0.0,0.0481,0.0,0.0,0.0481,0.0481,0.0,0.0,0.0,ensolarado,0.0
1773285409,0.0,0.0867,0.0,0.0,0.0867,0.0867,0.0,0.0,0.0,ensolarado,0.0
1773286309,0.0,0.0573,0.0,0.0,0.0573,0.0573,0.0,0.0,0.0,ensolarado,0.0
1773287209,0.0,0.1015,0.0,0.0,0.1015,0.1015,0.0,0.0,0.0,ensolarado,0.0
1773288109,0.0,0.0537,0.0,0.0,0.0537,0.0537,0.0,0.0,0.0,ensolarado,0.0
1773289009,0.0,0.0828,0.0,0.0,0.0828,0.0828,0.0,0.0,0.0,ensolarado,0.0
1773289909,0.0,0.1018,0.0,0.0,0.1018,0.1018,0.0,0.0,0.0,ensolarado,0.0
1773290809,0.0,0.096,0.0,0.0,0.096,0.096,0.0,0.0,0.0,ensolarado,0.0
1773291709,0.0,0.1162,0.0,0.0,0.1162,0.1162,0.0,0.0,0.0,ensolarado,0.0
1773292609,0.0,0.1348,0.0,0.0,0.1348,0.1348,0.0,0.0,0.0,ensolarado,0.0
1773293509,0.0,0.1001,0.0,0.0,0.1001,0.1001,0.0,0.0,0.0,ensolarado,0.0
1773294409,0.0,0.1434,0.0,0.0,0.1434,0.1434,0.0,0.0,0.0,ensolarado,0.0
1773295309,0.0055,0.2517,0.0,0.0055,0.2517,0.2462,0.0,0.0055,0.0051,ensolarado,0.0055
1773296209,0.0864,0.228,0.0,0.0864,0.228,0.1416,0.0,0.0864,0.0795,ensolarado,0.0872
1773297109,0.1581,0.2531,0.0,0.1581,0.2531,0.0951,0.0,0.1581,0.1454,ensolarado,0.1686
1773298009,0.2452,0.2262,0.019,0.2452,0.2262,0.0,0.019,0.2262,0.2081,ensolarado,0.2492
1773298909,0.315,0.2805,0.0345,0.315,0.2805,0.0,0.0345,0.2805,0.2581,ensolarado,0.3288
1773299809,0.3763,0.2822,0.0941,0.3763,0.2822,0.0,0.0941,0.2822,0.2596,ensolarado,0.407
1773300709,0.4631,0.2365,0.2267,0.4631,0.2365,0.0,0.2267,0.2365,0.2175,ensolarado,0.4834
1773301609,0.5057,0.2543,0.2514,0.5057,0.2543,0.0,0.2514,0.2543,0.234,ensolarado,0.5577
1773302509,0.5911,0.2618,0.3293,0.5911,0.2618,0.0,0.3293,0.2618,0.2409,ensolarado,0.6297
1773303409,0.6796,0.2482,0.4314,0.6796,0.2482,0.0,0.4314,0.2482,0.2283,ensolarado,0.699
1773304309,0.6988,0.1051,0.5936,0.6988,0.1051,0.0,0.5936,0.1051,0.0967,ensolarado,0.7653
1773305209,0.7268,0.131,0.5957,0.7268,0.131,0.0,0.5957,0.131,0.1205,ensolarado,0.8283
1773306109,0.9209,0.1299,0.791,0.9209,0.1299,0.0,0.791,0.1299,0.1195,ensolarado,0.8877
1773307009,0.8804,0.1325,0.7479,0.8804,0.1325,0.0,0.7479,0.1325,0.1219,ensolarado,0.9434
1773307909,0.8974,0.0898,0.8076,0.8974,0.0898,0.0,0.8076,0.0898,0.0826,ensolarado,0.995
1773308809,0.9975,0.1424,0.8551,0.9975,0.1424,0.0,0.8551,0.1424,0.131,ensolarado,1.0424
1773309709,1.029,0.129,0.9001,1.029,0.129,0.0,0.9001,0.129,0.1187,ensolarado,1.0852
1773310609,1.1769,0.1003,1.0766,1.1769,0.1003,0.0,1.0766,0.1003,0.0923,ensolarado,1.1235
1773311509,1.1921,0.125,1.0672,1.1921,0.125,0.0,1.0672,0.125,0.115,ensolarado,1.1569
1773312409,1.1305,0.1396,0.9909,1.1305,0.1396,0.0,0.9909,0.1396,0.1284,ensolarado,1.1854
1773313309,1.1777,0.0823,1.0954,1.1777,0.0823,0.0,1.0954,0.0823,0.0757,ensolarado,1.2088
1773314209,1.0942,0.1081,0.9861,1.0942,0.1081,0.0,0.9861,0.1081,0.0994,ensolarado,1.227
1773315109,1.1935,0.1785,1.015,1.1935,0.1785,0.0,1.015,0.1785,0.1642,ensolarado,1.24
1773316009,1.1382,0.2017,0.9365,1.1382,0.2017,0.0,0.9365,0.2017,0.1856,ensolarado,1.2477
1773316909,1.1775,0.1624,1.0151,1.1775,0.1624,0.0,1.0151,0.1624,0.1494,ensolarado,1.25
1773317809,1.1906,0.1619,1.0287,1.1906,0.1619,0.0,1.0287,0.1619,0.1489,ensolarado,1.247
1773318709,1.2853,0.1794,1.1059,1.2853,0.1794,0.0,1.1059,0.1794,0.165,ensolarado,1.2386
1773319609,1.2093,0.1435,1.0658,1.2093,0.1435,0.0,1.0658,0.1435,0.132,ensolarado,1.2249
1773320509,1.0962,0.1492,0.9469,1.0962,0.1492,0.0,0.9469,0.1492,0.1373,ensolarado,1.206
1773321409,1.2574,0.1869,1.0705,1.2574,0.1869,0.0,1.0705,0.1869,0.1719,ensolarado,1.1819
1773322309,1.1559,0.1223,1.0336,1.1559,0.1223,0.0,1.0336,0.1223,0.1125,ensolarado,1.1528
1773323209,1.0528,0.1044,0.9484,1.0528,0.1044,0.0,0.9484,0.1044,0.096,ensolarado,1.1187
1773324109,0.9797,0.1091,0.8705,0.9797,0.1091,0.0,0.8705,0.1091,0.1004,ensolarado,1.0798
1773325009,0.9298,0.1294,0.8004,0.9298,0.1294,0.0,0.8004,0.1294,0.119,ensolarado,1.0363
1773325909,0.9804,0.1282,0.8522,0.9804,0.1282,0.0,0.8522,0.1282,0.118,ensolarado,0.9884
1773326809,0.9245,0.1189,0.8055,0.9245,0.1189,0.0,0.8055,0.1189,0.1094,ensolarado,0.9362
1773327709,0.8718,0.1086,0.7631,0.8718,0.1086,0.0,0.7631,0.1086,0.0999,ensolarado,0.88
1773328609,0.7279,0.101,0.6269,0.7279,0.101,0.0,0.6269,0.101,0.0929,ensolarado,0.8201
1773329509,0.7396,0.1134,0.6262,0.7396,0.1134,0.0,0.6262,0.1134,0.1043,ensolarado,0.7566
1773330409,0.6677,0.0839,0.5838,0.6677,0.0839,0.0,0.5838,0.0839,0.0772,ensolarado,0.6899
1773331309,0.5812,0.124,0.4571,0.5812,0.124,0.0,0.4571,0.124,0.1141,ensolarado,0.6203
1773332209,0.514,0.1273,0.3867,0.514,0.1273,0.0,0.3867,0.1273,0.1171,ensolarado,0.548
1773333109,0.4564,0.1277,0.3287,0.4564,0.1277,0.0,0.3287,0.1277,0.1175,ensolarado,0.4733
1773334009,0.3849,0.1146,0.2703,0.3849,0.1146,0.0,0.2703,0.1146,0.1055,ensolarado,0.3966
1773334909,0.3069,0.1009,0.206,0.3069,0.1009,0.0,0.206,0.1009,0.0928,ensolarado,0.3183
1773335809,0.2173,0.1025,0.1148,0.2173,0.1025,0.0,0.1148,0.1025,0.0943,ensolarado,0.2385
1773336709,0.1583,0.1049,0.0535,0.1583,0.1049,0.0,0.0535,0.1049,0.0965,ensolarado,0.1577
1773337609,0.0784,0.1342,0.0,0.0784,0.1342,0.0558,0.0,0.0784,0.0721,ensolarado,0.0763
1773338509,0.0,0.3837,0.0,0.0,0.3837,0.3837,0.0,0.0,0.0,ensolarado,0.0
1773339409,0.0,0.3845,0.0,0.0,0.3845,0.3845,0.0,0.0,0.0,ensolarado,0.0
1773340309,0.0,0.3758,0.0,0.0,0.3758,0.3758,0.0,0.0,0.0,ensolarado,0.0
1773341209,0.0,0.4212,0.0,0.0,0.4212,0.4212,0.0,0.0,0.0,ensolarado,0.0
1773342109,0.0,0.3939,0.0,0.0,0.3939,0.3939,0.0,0.0,0.0,ensolarado,0.0
1773343009,0.0,0.419,0.0,0.0,0.419,0.419,0.0,0.0,0.0,ensolarado,0.0
1773343909,0.0,0.432,0.0,0.0,0.432,0.432,0.0,0.0,0.0,ensolarado,0.0
1773344809,0.0,0.3784,0.0,0.0,0.3784,0.3784,0.0,0.0,0.0,ensolarado,0.0
1773345709,0.0,0.4108,0.0,0.0,0.4108,0.4108,0.0,0.0,0.0,ensolarado,0.0
1773346609,0.0,0.4135,0.0,0.0,0.4135,0.4135,0.0,0.0,0.0,ensolarado,0.0
1773347509,0.0,0.4267,0.0,0.0,0.4267,0.4267,0.0,0.0,0.0,ensolarado,0.0
1773348409,0.0,0.3751,0.0,0.0,0.3751,0.3751,0.0,0.0,0.0,ensolarado,0.0
1773349309,0.0,0.4283,0.0,0.0,0.4283,0.4283,0.0,0.0,0.0,ensolarado,0.0
1773350209,0.0,0.3829,0.0,0.0,0.3829,0.3829,0.0,0.0,0.0,ensolarado,0.0
1773351109,0.0,0.3959,0.0,0.0,0.3959,0.3959,0.0,0.0,0.0,ensolarado,0.0
1773352009,0.0,0.4118,0.0,0.0,0.4118,0.4118,0.0,0.0,0.0,ensolarado,0.0
1773352909,0.0,0.392,0.0,0.0,0.392,0.392,0.0,0.0,0.0,ensolarado,0.0
1773353809,0.0,0.4046,0.0,0.0,0.4046,0.4046,0.0,0.0,0.0,ensolarado,0.0
1773354709,0.0,0.1422,0.0,0.0,0.1422,0.1422,0.0,0.0,0.0,ensolarado,0.0
1773355609,0.0,0.087,0.0,0.0,0.087,0.087,0.0,0.0,0.0,ensolarado,0.0
1773356509,0.0,0.1837,0.0,0.0,0.1837,0.1837,0.0,0.0,0.0,ensolarado,0.0
1773357409,0.0,0.1864,0.0,0.0,0.1864,0.1864,0.0,0.0,0.0,ensolarado,0.0
1773358309,0.0,0.1629,0.0,0.0,0.1629,0.1629,0.0,0.0,0.0,ensolarado,0.0
1773359209,0.0,0.1727,0.0,0.0,0.1727,0.1727,0.0,0.0,0.0,ensolarado,0.0
1773360109,0.0,0.0548,0.0,0.0,0.0548,0.0548,0.0,0.0,0.0,parcialmente_nublado,0.0
1773361009,0.0,0.0724,0.0,0.0,0.0724,0.0724,0.0,0.0,0.0,parcialmente_nublado,0.0
1773361909,0.0,0.0611,0.0,0.0,0.0611,0.0611,0.0,0.0,0.0,parcialmente_nublado,0.0
1773362809,0.0,0.0794,0.0,0.0,0.0794,0.0794,0.0,0.0,0.0,parcialmente_nublado,0.0
1773363709,0.0,0.0783,0.0,0.0,0.0783,0.0783,0.0,0.0,0.0,parcialmente_nublado,0.0
1773364609,0.0,0.0651,0.0,0.0,0.0651,0.0651,0.0,0.0,0.0,parcialmente_nublado,0.0
1773365509,0.0,0.1011,0.0,0.0,0.1011,0.1011,0.0,0.0,0.0,parcialmente_nublado,0.0
1773366409,0.0,0.0777,0.0,0.0,0.0777,0.0777,0.0,0.0,0.0,parcialmente_nublado,0.0
1773367309,0.0,0.047,0.0,0.0,0.047,0.047,0.0,0.0,0.0,parcialmente_nublado,0.0
1773368209,0.0,0.0584,0.0,0.0,0.0584,0.0584,0.0,0.0,0.0,parcialmente_nublado,0.0
1773369109,0.0,0.0759,0.0,0.0,0.0759,0.0759,0.0,0.0,0.0,parcialmente_nublado,0.0
1773370009,0.0,0.0709,0.0,0.0,0.0709,0.0709,0.0,0.0,0.0,parcialmente_nublado,0.0
1773370909,0.0,0.0722,0.0,0.0,0.0722,0.0722,0.0,0.0,0.0,parcialmente_nublado,0.0
1773371809,0.0,0.0707,0.0,0.0,0.0707,0.0707,0.0,0.0,0.0,parcialmente_nublado,0.0
1773372709,0.0,0.0855,0.0,0.0,0.0855,0.0855,0.0,0.0,0.0,parcialmente_nublado,0.0
1773373609,0.0,0.0639,0.0,0.0,0.0639,0.0639,0.0,0.0,0.0,parcialmente_nublado,0.0
1773374509,0.0,0.0501,0.0,0.0,0.0501,0.0501,0.0,0.0,0.0,parcialmente_nublado,0.0
1773375409,0.0,0.085,0.0,0.0,0.085,0.085,0.0,0.0,0.0,parcialmente_nublado,0.0
1773376309,0.0,0.1093,0.0,0.0,0.1093,0.1093,0.0,0.0,0.0,parcialmente_nublado,0.0
1773377209,0.0,0.0493,0.0,0.0,0.0493,0.0493,0.0,0.0,0.0,parcialmente_nublado,0.0
1773378109,0.0,0.1128,0.0,0.0,0.1128,0.1128,0.0,0.0,0.0,parcialmente_nublado,0.0
1773379009,0.0,0.1348,0.0,0.0,0.1348,0.1348,0.0,0.0,0.0,parcialmente_nublado,0.0
1773379909,0.0,0.1205,0.0,0.0,0.1205,0.1205,0.0,0.0,0.0,parcialmente_nublado,0.0
1773380809,0.0,0.1398,0.0,0.0,0.1398,0.1398,0.0,0.0,0.0,parcialmente_nublado,0.0
1773381709,0.0044,0.2713,0.0,0.0044,0.2713,0.2669,0.0,0.0044,0.004,parcialmente_nublado,0.0055
1773382609,0.067,0.2182,0.0,0.067,0.2182,0.1512,0.0,0.067,0.0616,parcialmente_nublado,0.0872
1773383509,0.1287,0.2201,0.0,0.1287,0.2201,0.0914,0.0,0.1287,0.1184,parcialmente_nublado,0.1686
1773384409,0.1744,0.2635,0.0,0.1744,0.2635,0.0891,0.0,0.1744,0.1604,parcialmente_nublado,0.2492
1773385309,0.2345,0.2551,0.0,0.2345,0.2551,0.0206,0.0,0.2345,0.2158,parcialmente_nublado,0.3288
1773386209,0.2953,0.2377,0.0577,0.2953,0.2377,0.0,0.0577,0.2377,0.2186,parcialmente_nublado,0.407
1773387109,0.3314,0.2509,0.0805,0.3314,0.2509,0.0,0.0805,0.2509,0.2308,parcialmente_nublado,0.4834
1773388009,0.4127,0.2758,0.1369,0.4127,0.2758,0.0,0.1369,0.2758,0.2537,parcialmente_nublado,0.5577
1773388909,0.4398,0.2761,0.1637,0.4398,0.2761,0.0,0.1637,0.2761,0.254,parcialmente_nublado,0.6297
1773389809,0.4571,0.2217,0.2355,0.4571,0.2217,0.0,0.2355,0.2217,0.2039,parcialmente_nublado,0.699
1773390709,0.5436,0.1396,0.404,0.5436,0.1396,0.0,0.404,0.1396,0.1284,parcialmente_nublado,0.7653
1773391609,0.5476,0.1364,0.4112,0.5476,0.1364,0.0,0.4112,0.1364,0.1255,parcialmente_nublado,0.8283
1773392509,0.6697,0.1408,0.5289,0.6697,0.1408,0.0,0.5289,0.1408,0.1296,parcialmente_nublado,0.8877
1773393409,0.6941,0.0886,0.6055,0.6941,0.0886,0.0,0.6055,0.0886,0.0815,parcialmente_nublado,0.9434
1773394309,0.7486,0.1221,0.6265,0.7486,0.1221,0.0,0.6265,0.1221,0.1124,parcialmente_nublado,0.995
1773395209,0.8067,0.1408,0.6659,0.8067,0.1408,0.0,0.6659,0.1408,0.1295,parcialmente_nublado,1.0424
1773396109,0.7796,0.1183,0.6613,0.7796,0.1183,0.0,0.6613,0.1183,0.1089,parcialmente_nublado,1.0852
1773397009,0.8243,0.1411,0.6832,0.8243,0.1411,0.0,0.6832,0.1411,0.1298,parcialmente_nublado,1.1235
1773397909,0.8761,0.1133,0.7629,0.8761,0.1133,0.0,0.7629,0.1133,0.1042,parcialmente_nublado,1.1569
1773398809,0.8293,0.13,0.6993,0.8293,0.13,0.0,0.6993,0.13,0.1196,parcialmente_nublado,1.1854
1773399709,0.894,0.1077,0.7863,0.894,0.1077,0.0,0.7863,0.1077,0.0991,parcialmente_nublado,1.2088
1773400609,0.901,0.1072,0.7937,0.901,0.1072,0.0,0.7937,0.1072,0.0987,parcialmente_nublado,1.227
1773401509,0.9839,0.2029,0.781,0.9839,0.2029,0.0,0.781,0.2029,0.1866,parcialmente_nublado,1.24
1773402409,0.9198,0.1951,0.7247,0.9198,0.1951,0.0,0.7247,0.1951,0.1795,parcialmente_nublado,1.2477
1773403309,0.8677,0.1958,0.6719,0.8677,0.1958,0.0,0.6719,0.1958,0.1802,parcialmente_nublado,1.25
1773404209,0.8947,0.1858,0.7089,0.8947,0.1858,0.0,0.7089,0.1858,0.1709,parcialmente_nublado,1.247
1773405109,0.9359,0.1587,0.7773,0.9359,0.1587,0.0,0.7773,0.1587,0.146,parcialmente_nublado,1.2386
1773406009,0.8933,0.183,0.7103,0.8933,0.183,0.0,0.7103,0.183,0.1684,parcialmente_nublado,1.2249
1773406909,0.9459,0.1777,0.7682,0.9459,0.1777,0.0,0.7682,0.1777,0.1635,parcialmente_nublado,1.206
1773407809,0.8685,0.1449,0.7236,0.8685,0.1449,0.0,0.7236,0.1449,0.1333,parcialmente_nublado,1.1819
1773408709,0.8447,0.0984,0.7463,0.8447,0.0984,0.0,0.7463,0.0984,0.0905,parcialmente_nublado,1.1528
1773409609,0.8782,0.1412,0.7369,0.8782,0.1412,0.0,0.7369,0.1412,0.1299,parcialmente_nublado,1.1187
1773410509,0.7547,0.1001,0.6546,0.7547,0.1001,0.0,0.6546,0.1001,0.0921,parcialmente_nublado,1.0798
1773411409,0.7704,0.1107,0.6597,0.7704,0.1107,0.0,0.6597,0.1107,0.1019,parcialmente_nublado,1.0363
1773412309,0.6836,0.0905,0.5931,0.6836,0.0905,0.0,0.5931,0.0905,0.0833,parcialmente_nublado,0.9884
1773413209,0.6821,0.0904,0.5917,0.6821,0.0904,0.0,0.5917,0.0904,0.0832,parcialmente_nublado,0.9362
1773414109,0.6537,0.0899,0.5638,0.6537,0.0899,0.0,0.5638,0.0899,0.0827,parcialmente_nublado,0.88
1773415009,0.5577,0.1214,0.4363,0.5577,0.1214,0.0,0.4363,0.1214,0.1117,parcialmente_nublado,0.8201
1773415909,0.5184,0.0896,0.4288,0.5184,0.0896,0.0,0.4288,0.0896,0.0824,parcialmente_nublado,0.7566
1773416809,0.5305,0.0823,0.4482,0.5305,0.0823,0.0,0.4482,0.0823,0.0757,parcialmente_nublado,0.6899
1773417709,0.4377,0.0855,0.3523,0.4377,0.0855,0.0,0.3523,0.0855,0.0786,parcialmente_nublado,0.6203
1773418609,0.3835,0.1023,0.2812,0.3835,0.1023,0.0,0.2812,0.1023,0.0941,parcialmente_nublado,0.548
1773419509,0.3539,0.0876,0.2663,0.3539,0.0876,0.0,0.2663,0.0876,0.0806,parcialmente_nublado,0.4733
1773420409,0.283,0.0972,0.1857,0.283,0.0972,0.0,0.1857,0.0972,0.0895,parcialmente_nublado,0.3966
1773421309,0.2311,0.1214,0.1097,0.2311,0.1214,0.0,0.1097,0.1214,0.1117,parcialmente_nublado,0.3183
1773422209,0.1799,0.1336,0.0463,0.1799,0.1336,0.0,0.0463,0.1336,0.1229,parcialmente_nublado,0.2385
1773423109,0.1133,0.0883,0.025,0.1133,0.0883,0.0,0.025,0.0883,0.0813,parcialmente_nublado,0.1577
1773424009,0.052,0.1447,0.0,0.052,0.1447,0.0927,0.0,0.052,0.0479,parcialmente_nublado,0.0763
1773424909,0.0,0.4239,0.0,0.0,0.4239,0.4239,0.0,0.0,0.0,parcialmente_nublado,0.0
1773425809,0.0,0.406,0.0,0.0,0.406,0.406,0.0,0.0,0.0,parcialmente_nublado,0.0
1773426709,0.0,0.3949,0.0,0.0,0.3949,0.3949,0.0,0.0,0.0,parcialmente_nublado,0.0
1773427609,0.0,0.4232,0.0,0.0,0.4232,0.4232,0.0,0.0,0.0,parcialmente_nublado,0.0
1773428509,0.0,0.4131,0.0,0.0,0.4131,0.4131,0.0,0.0,0.0,parcialmente_nublado,0.0
1773429409,0.0,0.3803,0.0,0.0,0.3803,0.3803,0.0,0.0,0.0,parcialmente_nublado,0.0
1773430309,0.0,0.382,0.0,0.0,0.382,0.382,0.0,0.0,0.0,parcialmente_nublado,0.0
1773431209,0.0,0.3852,0.0,0.0,0.3852,0.3852,0.0,0.0,0.0,parcialmente_nublado,0.0
1773432109,0.0,0.383,0.0,0.0,0.383,0.383,0.0,0.0,0.0,parcialmente_nublado,0.0
1773433009,0.0,0.4089,0.0,0.0,0.4089,0.4089,0.0,0.0,0.0,parcialmente_nublado,0.0
1773433909,0.0,0.369,0.0,0.0,0.369,0.369,0.0,0.0,0.0,parcialmente_nublado,0.0
1773434809,0.0,0.4285,0.0,0.0,0.4285,0.4285,0.0,0.0,0.0,parcialmente_nublado,0.0
1773435709,0.0,0.4076,0.0,0.0,0.4076,0.4076,0.0,0.0,0.0,parcialmente_nublado,0.0
1773436609,0.0,0.4278,0.0,0.0,0.4278,0.4278,0.0,0.0,0.0,parcialmente_nublado,0.0
1773437509,0.0,0.3729,0.0,0.0,0.3729,0.3729,0.0,0.0,0.0,parcialmente_nublado,0.0
1773438409,0.0,0.4146,0.0,0.0,0.4146,0.4146,0.0,0.0,0.0,parcialmente_nublado,0.0
1773439309,0.0,0.3929,0.0,0.0,0.3929,0.3929,0.0,0.0,0.0,parcialmente_nublado,0.0
1773440209,0.0,0.4072,0.0,0.0,0.4072,0.4072,0.0,0.0,0.0,parcialmente_nublado,0.0
1773441109,0.0,0.0874,0.0,0.0,0.0874,0.0874,0.0,0.0,0.0,parcialmente_nublado,0.0
1773442009,0.0,0.1429,0.0,0.0,0.1429,0.1429,0.0,0.0,0.0,parcialmente_nublado,0.0
1773442909,0.0,0.1645,0.0,0.0,0.1645,0.1645,0.0,0.0,0.0,parcialmente_nublado,0.0
1773443809,0.0,0.1427,0.0,0.0,0.1427,0.1427,0.0,0.0,0.0,parcialmente_nublado,0.0
1773444709,0.0,0.1779,0.0,0.0,0.1779,0.1779,0.0,0.0,0.0,parcialmente_nublado,0.0
1773445609,0.0,0.1856,0.0,0.0,0.1856,0.1856,0.0,0.0,0.0,parcialmente_nublado,0.0
1773446509,0.0,0.1521,0.0,0.0,0.1521,0.1521,0.0,0.0,0.0,parcialmente_nublado,0.0
1773447409,0.0,0.1455,0.0,0.0,0.1455,0.1455,0.0,0.0,0.0,parcialmente_nublado,0.0
1773448309,0.0,0.1072,0.0,0.0,0.1072,0.1072,0.0,0.0,0.0,parcialmente_nublado,0.0
